Giro 2 (build 04:43, soglia unica): livelli e righe del LIVE
ORECCHIO db -80 fondo -70 parlato false silenzio 2560 mano false
ORECCHIO db -75 fondo -70 parlato false silenzio 2880 mano false
ORECCHIO db -50 fondo -70 parlato false silenzio 0 mano false
ORECCHIO db -38 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -41 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -47 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -55 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -64 fondo -69 parlato true silenzio 320 mano false
ORECCHIO db -65 fondo -70 parlato true silenzio 640 mano false
ORECCHIO db -88 fondo -70 parlato true silenzio 960 mano false
ORECCHIO db -78 fondo -70 parlato true silenzio 1280 mano false
ORECCHIO db -89 fondo -70 parlato true silenzio 1600 mano false
ORECCHIO db -83 fondo -70 parlato true silenzio 1920 mano false
LIVE: frase di 3760 ms registrata in 7841 ms, trascritta in 957 ms: «»
ORECCHIO db -90 fondo -70 parlato false silenzio 320 mano false
ORECCHIO db -89 fondo -70 parlato false silenzio 640 mano false
ORECCHIO db -91 fondo -70 parlato false silenzio 960 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 1280 mano false
ORECCHIO db -89 fondo -70 parlato false silenzio 1600 mano false
ORECCHIO db -81 fondo -70 parlato false silenzio 1920 mano false
ORECCHIO db -89 fondo -70 parlato false silenzio 2240 mano false
ORECCHIO db -58 fondo -69 parlato false silenzio 160 mano false
ORECCHIO db -66 fondo -69 parlato false silenzio 480 mano false
ORECCHIO db -74 fondo -70 parlato false silenzio 800 mano false
ORECCHIO db -79 fondo -70 parlato false silenzio 1120 mano false
ORECCHIO db -80 fondo -70 parlato false silenzio 1440 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 1760 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 2080 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 2400 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 2720 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 3040 mano false
ORECCHIO db -78 fondo -70 parlato false silenzio 3360 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 3680 mano false
ORECCHIO db -74 fondo -70 parlato false silenzio 4000 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 4320 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 4640 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 4960 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 5280 mano false
ORECCHIO db -80 fondo -70 parlato false silenzio 5600 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 5920 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 6240 mano false
ORECCHIO db -57 fondo -70 parlato false silenzio 0 mano false
